iter	Accuracy	MultiClass
758	0.8316635745	0.5736222482
759	0.8319109462	0.573321478
760	0.8326530612	0.5730413735
761	0.8329004329	0.5727364263
762	0.8330241187	0.5725237424
763	0.8332714904	0.5722487996
764	0.8330241187	0.5721029732
765	0.8330241187	0.5719117206
766	0.8335188621	0.5716862347
767	0.8332714904	0.5713796331
768	0.8331478046	0.5709678218
769	0.8335188621	0.5707677677
770	0.8340136054	0.5706044953
771	0.8340136054	0.5703464552
772	0.8340136054	0.5701190903
773	0.834384663	0.569918629
774	0.8342609771	0.5696036384
775	0.8352504638	0.5693033247
776	0.8354978355	0.5691114021
777	0.8354978355	0.5688319052
778	0.835868893	0.5684882942
779	0.8353741497	0.5682346152
780	0.8361162647	0.5679424883
781	0.8361162647	0.5677669754
782	0.8362399505	0.5674644125
783	0.8362399505	0.5672051763
784	0.836611008	0.5668164775
785	0.8372294372	0.5663868771
786	0.8377241806	0.5660653602
787	0.8380952381	0.5657917919
788	0.8374768089	0.5654364632
789	0.8385899814	0.5651101355
790	0.8383426098	0.5647954656
791	0.8387136673	0.5644481684
792	0.838961039	0.5641715771
793	0.8393320965	0.563871648
794	0.8395794682	0.5636382515
795	0.8399505257	0.5633524866
796	0.8399505257	0.5630104966
797	0.8401978973	0.5628159502
798	0.8406926407	0.56255211
799	0.8413110699	0.562220768
